feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
STIL	status	Tumor	1.96625993534294	0.110802311718156	855	437	3.61948256064069e-60	9.04870640160174e-58
MYOC	status	Tumor	-1.973014247386	0.111321595447511	855	422	4.82244527161057e-60	1.14820125514537e-57
KIF23	status	Tumor	1.95659065772215	0.11072508878996	855	436	9.57006608805507e-60	2.17501502001252e-57
E2F3	status	Tumor	1.96552918171681	0.111555129878699	855	439	1.86112375604894e-59	4.04592120880205e-57
GPX3	status	Tumor	-1.96027435829348	0.111336702945553	855	419	2.19160623859446e-59	4.56584633040512e-57
SCNN1B	status	Tumor	-1.94209140938555	0.110366478250092	855	391	2.49335880212107e-59	4.98671760424214e-57
CITED2	status	Tumor	-1.95666044440596	0.111573442219162	855	416	5.39931143382e-59	1.03832912188846e-56
CFD	status	Tumor	-1.95662834933131	0.111820467032828	855	417	8.93580061370928e-59	1.65477789142765e-56
IQGAP3	status	Tumor	1.94471526779781	0.111315246224184	855	452	1.27569626920699e-58	2.26339094889268e-56
CMTM5	status	Tumor	-1.94802515084287	0.111518886702312	855	447	1.31276675035775e-58	2.26339094889268e-56
CEP55	status	Tumor	1.93353401003945	0.111261036306263	855	459	4.17001141224674e-58	6.95001902041123e-56
MKI67	status	Tumor	1.93333208667693	0.111269997451348	855	463	4.34599446775286e-58	7.00966849637558e-56
VEGFD	status	Tumor	-1.92581867012171	0.11089405909697	855	411	4.8697859664175e-58	7.60904057252734e-56
BUB1	status	Tumor	1.92643198901452	0.111446292245536	855	442	1.37013562910298e-57	2.07596307439846e-55
AQP4	status	Tumor	-1.90872620530249	0.110965434909258	855	376	4.05370203484572e-57	5.96132652183195e-55
PEBP4	status	Tumor	-1.92113049937892	0.111910639966511	855	403	6.29782803257933e-57	8.99689718939905e-55
ARHGAP11A	status	Tumor	1.91242497484631	0.111493589093679	855	437	7.5193950508661e-57	1.0443604237314e-54
CKMT2	status	Tumor	-1.90096300208926	0.110990046755901	855	404	1.0408965403943e-56	1.40661694647878e-54
HELLS	status	Tumor	1.89374489539088	0.111106880414305	855	433	3.00003625107358e-56	3.94741611983365e-54
ANLN	status	Tumor	1.9005949620051	0.111537579247301	855	447	3.17308527485075e-56	4.06805804468044e-54
FOXD2.AS1	status	Tumor	1.90016242851034	0.111528093456693	855	443	3.27281325224623e-56	4.09101656530778e-54
ATAD2	status	Tumor	1.90317171360716	0.112052515499542	855	422	6.41637523758918e-56	7.82484785071851e-54
CWH43	status	Tumor	-1.88979361486619	0.111293666648577	855	362	6.78543701932088e-56	8.07790121347724e-54
RXRG	status	Tumor	-1.8968214097657	0.111882383222944	855	440	9.50812017289417e-56	1.10559536894118e-53
RUNX1	status	Tumor	1.90080440104077	0.112316462483333	855	439	1.39297769920854e-55	1.58292920364606e-53
STX12	status	Tumor	-1.8992294616518	0.112313368400083	855	408	1.65459421598547e-55	1.83843801776164e-53
KIF18A	status	Tumor	1.89341814576235	0.112155728066786	855	435	2.36179134751663e-55	2.56716450817025e-53
CIP2A	status	Tumor	1.88230558717549	0.111661205125808	855	427	3.23250676351671e-55	3.43883698246458e-53
HOXC11	status	Tumor	1.89588623571266	0.112485816083364	855	409	3.35119863271602e-55	3.49083190907919e-53
SOX9	status	Tumor	1.89414774324752	0.112496389611786	855	468	4.15862478590597e-55	4.24349467949589e-53
KIF20A	status	Tumor	1.88846117718875	0.11218593173796	855	453	4.37994045545952e-55	4.37994045545952e-53
HJURP	status	Tumor	1.8818025500663	0.11184591546707	855	453	4.86906396502112e-55	4.77359212256973e-53
KAT2B	status	Tumor	-1.89091586421013	0.112716376537345	855	421	9.06035864630123e-55	8.71188331375118e-53
GNG7	status	Tumor	-1.88016795774593	0.112154863536058	855	432	1.05233645026128e-54	9.92770236095548e-53
COL10A1	status	Tumor	1.86313800964386	0.11116043153356	855	403	1.09621084944283e-54	1.01501004578039e-52
HOXC.AS2	status	Tumor	1.87507688618093	0.112112125044609	855	396	1.72273386525804e-54	1.56612169568913e-52
ADH7	status	Tumor	-1.85903077450683	0.111221472837466	855	369	1.96289743887115e-54	1.72400191816021e-52
TOP2A	status	Tumor	1.87713430036014	0.11230523260466	855	451	1.96536218670264e-54	1.72400191816021e-52
NEK2	status	Tumor	1.86984940364489	0.112024113195084	855	442	2.6298587527e-54	2.22869385822034e-52
BRCA2	status	Tumor	1.8740849545962	0.112269861134455	855	430	2.59066815761197e-54	2.22869385822034e-52
VSTM2A	status	Tumor	-1.87170381059574	0.112167568075596	855	460	2.7944936968921e-54	2.32874474741008e-52
NUF2	status	Tumor	1.86367800890967	0.111996643624924	855	438	5.00168285905906e-54	4.09974004840906e-52
MTBP	status	Tumor	1.84820521765055	0.112104480968231	855	430	3.46361219511134e-53	2.79323564121882e-51
BMP8A	status	Tumor	1.84669290808008	0.112137938991233	855	425	4.36201547719952e-53	3.46191704539645e-51
HPCAL4	status	Tumor	-1.85637069852043	0.112851357549482	855	420	5.4889384119695e-53	4.28823313435118e-51
PINK1	status	Tumor	-1.85065082219422	0.112663464512041	855	429	7.35062573993755e-53	5.65432749225965e-51
DTL	status	Tumor	1.83385309350012	0.11176674708688	855	431	9.2645162030321e-53	7.01857288108493e-51
EXO1	status	Tumor	1.83163704029688	0.111809005947797	855	429	1.28252502514109e-52	9.5710822771723e-51
BUB1B	status	Tumor	1.83149639072986	0.111897377050631	855	452	1.53131546286001e-52	1.12596725210295e-50
CENPE	status	Tumor	1.8433457787363	0.11268186303841	855	414	1.70901110700332e-52	1.23841384565458e-50
ADAMTS12	status	Tumor	1.82439311113936	0.111686640826304	855	432	2.30360244414905e-52	1.64543031724932e-50
ENC1	status	Tumor	1.83219665238802	0.11233445620864	855	452	3.13587005481784e-52	2.20835919353369e-50
HADHB	status	Tumor	-1.83584050605124	0.112578249584044	855	420	3.2534522879897e-52	2.25934186665951e-50
CKAP2L	status	Tumor	1.83247648771914	0.112382332196281	855	442	3.31506004438477e-52	2.27058907149642e-50
HMMR	status	Tumor	1.83405189365445	0.112527975007374	855	443	3.6219282373798e-52	2.44724880904041e-50
ADRB2	status	Tumor	-1.83803391412877	0.112819604168084	855	428	3.94388727991343e-52	2.62925818660895e-50
GABRD	status	Tumor	1.81493166913557	0.111449037776867	855	421	4.2999045599195e-52	2.82888457889441e-50
DLGAP5	status	Tumor	1.82991117355249	0.112610596530339	855	457	6.64404972771316e-52	4.31431800500855e-50
MCM10	status	Tumor	1.82014888951237	0.112049727376348	855	433	7.13982875756973e-52	4.57681330613444e-50
WNT2	status	Tumor	1.81673908340796	0.111861278599665	855	374	7.42203841948456e-52	4.63877401217785e-50
TROAP	status	Tumor	1.82878617697437	0.11260206775476	855	449	7.40898478475933e-52	4.63877401217785e-50
CTHRC1	status	Tumor	1.82144406462743	0.112257046866416	855	412	8.98248307929314e-52	5.54474264153898e-50
CDK1	status	Tumor	1.82112428357484	0.112298073524403	855	451	1.00177091811862e-51	6.10835925682086e-50
FAM72A	status	Tumor	1.81034463459203	0.112142782667966	855	414	2.49988004544199e-51	1.50595183460361e-49
DLEU7	status	Tumor	1.80103733395739	0.11169076041646	855	425	3.12467356351434e-51	1.85992474018711e-49
NDC80	status	Tumor	1.81251487291063	0.112413739171666	855	436	3.18751713650754e-51	1.87501008029855e-49
SKA3	status	Tumor	1.81254613099837	0.112540015234354	855	435	3.9745303628611e-51	2.31077346677971e-49
PLP1	status	Tumor	-1.81576898858159	0.112929403476216	855	416	5.55144752300619e-51	3.19048708218746e-49
ZWILCH	status	Tumor	1.80418691015367	0.112536745914275	855	424	9.90330653182726e-51	5.62687871126549e-49
XRCC2	status	Tumor	1.78989069206693	0.111790472139444	855	407	1.28132845659465e-50	7.19847447525086e-49
RAD51AP1	status	Tumor	1.79919402725646	0.11242803532309	855	427	1.41514644978469e-50	7.86192472102607e-49
TRIP13	status	Tumor	1.79838514394109	0.11249211711371	855	433	1.73054725714325e-50	9.47019036959394e-49
ASPA	status	Tumor	-1.80965139820955	0.113200797063071	855	445	1.74251502800528e-50	9.47019036959394e-49
KIF11	status	Tumor	1.79714658926092	0.112521749327348	855	443	2.08777973840025e-50	1.12246222494637e-48
OTX1	status	Tumor	1.79613456538918	0.112529819456636	855	439	2.36572039370617e-50	1.25836191154583e-48
FAM72B	status	Tumor	1.80754904907785	0.113285064127798	855	423	2.53637696461355e-50	1.33493524453345e-48
RCC2	status	Tumor	1.80688074965194	0.113268392905407	855	441	2.64984380962065e-50	1.38012698417742e-48
SCARA5	status	Tumor	-1.79862223358327	0.112876423603228	855	438	3.29819609163761e-50	1.70010107816371e-48
EME1	status	Tumor	1.79399246913519	0.112617778160152	855	421	3.4867171710991e-50	1.77280987348607e-48
MYBL2	status	Tumor	1.79746125324614	0.112839386771533	855	457	3.51016354950242e-50	1.77280987348607e-48
C16orf89	status	Tumor	-1.79273194262505	0.112589532862661	855	429	3.80984996105479e-50	1.90492498052739e-48
TMEM26	status	Tumor	1.79145106899941	0.112603348246325	855	423	4.48894150999845e-50	2.22224827227646e-48
CCN5	status	Tumor	-1.79630976037372	0.112982651042062	855	424	5.10201486305128e-50	2.50098767796631e-48
KIF4A	status	Tumor	1.78684875723922	0.1125301797172	855	439	6.53614949115756e-50	3.17288810250367e-48
SGO1	status	Tumor	1.78782334677824	0.112633878114171	855	436	7.03342659283736e-50	3.38145509271027e-48
P2RX2	status	Tumor	-1.79037386713563	0.112823206101829	855	415	7.39047008809527e-50	3.51927147052156e-48
ATP11A	status	Tumor	1.80070192730553	0.11348103997958	855	456	7.47982726661968e-50	3.52822040878287e-48
CDCA2	status	Tumor	1.79081814937888	0.112899643850302	855	433	8.03525587857108e-50	3.754792466622e-48
FANCI	status	Tumor	1.78641040715112	0.112695105014918	855	425	9.12140197296753e-50	4.20226727746268e-48
KRT24	status	Tumor	-1.78794861688133	0.112794648967345	855	366	9.16094266486865e-50	4.20226727746268e-48
MAMDC2	status	Tumor	-1.79360996966186	0.113227276491866	855	435	1.04298787678766e-49	4.74085398539844e-48
GTSE1	status	Tumor	1.78562400770055	0.112775743012155	855	445	1.14200012159829e-49	5.14414469188417e-48
GSN	status	Tumor	-1.78355888720857	0.112696003426279	855	425	1.2462854701847e-49	5.55245490918083e-48
MELK	status	Tumor	1.78402756280202	0.112729595391959	855	452	1.25485480947487e-49	5.55245490918083e-48
SLC39A10	status	Tumor	1.78305196173777	0.112729773578721	855	439	1.39583209978371e-49	6.12207061308646e-48
SMDT1	status	Tumor	-1.78475210129934	0.11290482186395	855	430	1.56762149752597e-49	6.81574564141725e-48
FAM161B	status	Tumor	-1.80059114888069	0.114034779479235	855	420	1.94837811865334e-49	8.39818154591959e-48
LYVE1	status	Tumor	-1.77008970323015	0.11298302831905	855	405	8.76529873759729e-49	3.74585416136636e-47
ALDH6A1	status	Tumor	-1.76841824783046	0.112902696489854	855	418	9.16529399782822e-49	3.88359915162213e-47
PRR11	status	Tumor	1.77267982242306	0.113191718924786	855	432	9.43130512095564e-49	3.96273324409901e-47
GSTM5	status	Tumor	-1.77522210812935	0.113410287695508	855	416	1.03683619460644e-48	4.32015081086015e-47
ATAD5	status	Tumor	1.76150153328948	0.112621530076055	855	436	1.20315740460838e-48	4.97172481243133e-47
BLM	status	Tumor	1.77470904874804	0.113604321875595	855	444	1.51758932098923e-48	6.21962836470996e-47
RNF185	status	Tumor	-1.76846437514223	0.113305395130696	855	425	1.79754520408968e-48	7.30709432556781e-47
MTFR1L	status	Tumor	-1.76833805241495	0.113520702810738	855	415	2.61235033569902e-48	1.05336707084638e-46
POLQ	status	Tumor	1.75771740109731	0.112853924600526	855	426	2.67910195774441e-48	1.07164078309777e-46
SH3GL2	status	Tumor	-1.74957879926597	0.112378322734538	855	396	2.89966596748018e-48	1.15066109820642e-46
DDIAS	status	Tumor	1.75213010699022	0.112642905915658	855	416	3.43431663452882e-48	1.35209316320032e-46
RNF11	status	Tumor	-1.76531344897018	0.113521222010412	855	397	3.61488534746097e-48	1.41206458885194e-46
CADM3	status	Tumor	-1.76549064123681	0.113637891764519	855	406	4.30634439866982e-48	1.66912573591854e-46
OSBPL3	status	Tumor	1.76318224539715	0.113543652385129	855	462	4.71333725815244e-48	1.81282202236632e-46
FAM180B	status	Tumor	-1.75484577913537	0.113488301542647	855	418	1.0480336594303e-47	4.000128471108e-46
C1QL1	status	Tumor	-1.75350532084458	0.113414877056729	855	404	1.07124858565732e-47	4.05775979415653e-46
MTFR2	status	Tumor	1.74944652796722	0.113185071272922	855	428	1.13083117243802e-47	4.25124500916549e-46
TTK	status	Tumor	1.74718688932409	0.113443953112194	855	439	2.20510218624977e-47	8.22799323227526e-46
FOXM1	status	Tumor	1.7436017289972	0.113224932140639	855	449	2.25556680636787e-47	8.35395113469582e-46
EPIST	status	Tumor	-1.73880497420591	0.112918164965374	855	399	2.27319061044517e-47	8.35731842075429e-46
UBE2C	status	Tumor	1.74509947362084	0.11346653584103	855	463	2.85796995562152e-47	1.04305472832902e-45
NT5C1A	status	Tumor	-1.74501844180273	0.113483542066297	855	423	2.96410000438579e-47	1.07394927695137e-45
DSCC1	status	Tumor	1.73369266127464	0.112771407046733	855	414	3.08568853518129e-47	1.10995990474147e-45
KIF15	status	Tumor	1.73857267080506	0.113136550832313	855	432	3.33696749328609e-47	1.19177410474503e-45
DNA2	status	Tumor	1.73574059438451	0.113040197658429	855	437	3.85499352883768e-47	1.36701898185733e-45
TRIM59	status	Tumor	1.7298258951187	0.112757700135122	855	434	4.56354425305216e-47	1.60688177924372e-45
QTRT2	status	Tumor	1.74306375568254	0.113653537340916	855	426	4.81491157806184e-47	1.68353551680484e-45
UHRF1	status	Tumor	1.73586770210282	0.113240333827379	855	443	5.2760456169539e-47	1.83196028366455e-45
EMILIN3	status	Tumor	-1.73307592856756	0.113223088179965	855	409	6.90469139593337e-47	2.38092806756323e-45
HOTAIR	status	Tumor	1.74152872797968	0.113890744565814	855	410	8.32311338944112e-47	2.85038129775381e-45
GINS1	status	Tumor	1.73038430222457	0.11319223978947	855	428	8.74364465390041e-47	2.97402879384368e-45
DBF4	status	Tumor	1.72800431730419	0.113431235616884	855	431	1.65772074373033e-46	5.60040791800787e-45
WDR62	status	Tumor	1.72056007369855	0.113091992952473	855	425	2.11103307767406e-46	7.08400361635589e-45
CRADD	status	Tumor	-1.71870078020369	0.113105330248477	855	420	2.62741257599612e-46	8.75804191998708e-45
CENPA	status	Tumor	1.72559119675945	0.113614585881095	855	452	2.87351851583072e-46	9.51496197294941e-45
PKMYT1	status	Tumor	1.72404776597115	0.113526851078159	855	441	2.9382639831444e-46	9.66534204981712e-45
CENPI	status	Tumor	1.71341121623905	0.112920875062341	855	425	3.42155357474105e-46	1.11815476298727e-44
ZER1	status	Tumor	-1.72572139379081	0.113738572794645	855	425	3.45678765721236e-46	1.12233365493908e-44
HPSE2	status	Tumor	-1.72468437134855	0.113768085132632	855	371	4.0420483698476e-46	1.30388657091858e-44
NFE2L2	status	Tumor	-1.72216542030346	0.113632722876713	855	408	4.24600768012874e-46	1.36089989747716e-44
NDRG2	status	Tumor	-1.72829905956269	0.114284104702923	855	430	6.28154601348238e-46	2.00049236098165e-44
MMS22L	status	Tumor	1.71961616891766	0.113800550066556	855	426	7.25467103548247e-46	2.29578197325395e-44
SALL4	status	Tumor	1.71970069681908	0.113972084423091	855	407	9.43722209374387e-46	2.96767990369304e-44
NCAPH	status	Tumor	1.71288729384571	0.11353432157366	855	440	9.6461917147575e-46	3.01443491086172e-44
TIMELESS	status	Tumor	1.71518158921395	0.113814133480358	855	436	1.18086343230164e-45	3.66727774006719e-44
KIF2C	status	Tumor	1.70951272906031	0.113630277880351	855	442	1.60105831325266e-45	4.94153800386622e-44
KNTC1	status	Tumor	1.69828050106457	0.112993811834133	855	423	1.90703839624994e-45	5.84981103144153e-44
CENPL	status	Tumor	1.70268313039867	0.113305619369152	855	423	1.96484558844135e-45	5.99038289158947e-44
RDH12	status	Tumor	-1.69122354598494	0.112595367083999	855	373	2.13542851835309e-45	6.47099551016088e-44
CDCA5	status	Tumor	1.70053375389923	0.113292851771161	855	442	2.41413181770494e-45	7.27148137862933e-44
DEPDC1B	status	Tumor	1.70193810036911	0.113482011149812	855	432	2.80654930290437e-45	8.40284222426457e-44
CENPO	status	Tumor	1.70151944618032	0.113492405421675	855	434	2.98092960784323e-45	8.87181430905723e-44
FIRRM	status	Tumor	1.69889139485198	0.11339795271638	855	432	3.38536249874002e-45	1.00158653808876e-43
ADAMTS14	status	Tumor	1.7045176803326	0.113838442486248	855	432	3.7477899154719e-45	1.10229115160938e-43
NCAPG	status	Tumor	1.70056084551915	0.113604446355326	855	444	3.92993488904199e-45	1.14910376872573e-43
ELL2	status	Tumor	-1.70066025233023	0.113638148972251	855	420	4.10015569240632e-45	1.19190572453672e-43
PGM5.AS1	status	Tumor	-1.70522487103726	0.113973285584993	855	392	4.29768106288157e-45	1.24210435343398e-43
VIT	status	Tumor	-1.70693726477333	0.11412362047178	855	389	4.54493619911396e-45	1.30601614917068e-43
GRIN2D	status	Tumor	1.69699506587097	0.113483265985333	855	418	4.7218387511195e-45	1.34909678603414e-43
SLC25A4	status	Tumor	-1.69722557275689	0.113566361972002	855	406	5.24948140307683e-45	1.49132994405592e-43
FAM107A	status	Tumor	-1.6991017906157	0.113703000086075	855	439	5.34124984772358e-45	1.50882764059988e-43
RFC3	status	Tumor	1.6987900978524	0.113687219429922	855	416	5.3837819540449e-45	1.512298301698e-43
PCARE	status	Tumor	-1.69609408237052	0.113582417606673	855	493	6.05929894882117e-45	1.69254160581597e-43
HOXC8	status	Tumor	1.69204697285352	0.113317743048635	855	377	6.11981372739949e-45	1.69994825761097e-43
SPAG5	status	Tumor	1.69381942636522	0.113610329648029	855	437	8.02756959471862e-45	2.21756066152448e-43
RAD54B	status	Tumor	1.69381450188842	0.113712173620753	855	433	9.41053017418074e-45	2.58531048741229e-43
MMP11	status	Tumor	1.68770112279269	0.113434027300885	855	418	1.15627469757692e-44	3.15922048518285e-43
PRIM2	status	Tumor	1.68668036871131	0.113439403916118	855	429	1.29719706839613e-44	3.52499203368513e-43
P2RY14	status	Tumor	-1.69834459539408	0.114233077234385	855	439	1.31570167181024e-44	3.555950464352e-43
HOXC.AS1	status	Tumor	1.68010901572128	0.11308573529836	855	403	1.48845067373325e-44	4.00121148853024e-43
TTYH3	status	Tumor	1.68997835996856	0.114125482302503	855	441	2.6540668504486e-44	7.09643542900695e-43
LINC02716	status	Tumor	-1.69196320330912	0.11453208689994	855	409	4.02451850991066e-44	1.07035066752943e-42
HOXA13	status	Tumor	1.68060936244044	0.113836219285777	855	348	4.49853774834345e-44	1.18382572324828e-42
GFRA2	status	Tumor	-1.68369369489301	0.114044374304122	855	412	4.49330069799847e-44	1.18382572324828e-42
EZH2	status	Tumor	1.67979269413778	0.113892053172438	855	444	5.33202627416284e-44	1.39581839637771e-42
PCSK2	status	Tumor	-1.67794200886467	0.113785092301188	855	435	5.48512354825484e-44	1.42841759069136e-42
E2F7	status	Tumor	1.66887588446359	0.113373023276578	855	425	7.48457723858878e-44	1.93900964730279e-42
COL1A1	status	Tumor	1.66805734586735	0.113501665106352	855	456	9.9166549785115e-44	2.5558389119875e-42
DKC1	status	Tumor	1.67130748773475	0.113924354297967	855	418	1.34643230626975e-43	3.45239052889679e-42
FAM91A1	status	Tumor	1.66889161338715	0.113768458251377	855	428	1.36447767604712e-43	3.4808103980794e-42
BTG2	status	Tumor	-1.6698213280692	0.113909806838233	855	393	1.53540809666114e-43	3.89697486462219e-42
CCNF	status	Tumor	1.67483244419372	0.114296063552242	855	424	1.64170161872409e-43	4.14571115839415e-42
RECQL4	status	Tumor	1.66712855477827	0.113799264922279	855	423	1.71517286683109e-43	4.30947956490223e-42
COL11A1	status	Tumor	1.66555088712858	0.11374597480553	855	403	1.86230314172068e-43	4.65575785430171e-42
BRIP1	status	Tumor	1.66106648118936	0.113505900995765	855	422	2.05868048659408e-43	5.12109573779622e-42
MEST	status	Tumor	1.66894022841741	0.114083571424466	855	425	2.1852833057337e-43	5.40911709340025e-42
MPZ	status	Tumor	-1.6692598751974	0.114115837136249	855	387	2.21980174891344e-43	5.46749199239762e-42
CHEK1	status	Tumor	1.65880529028658	0.113434384397642	855	419	2.33438303894303e-43	5.72152705623292e-42
ADAM12	status	Tumor	1.65860009268136	0.113608333155601	855	375	3.10049379269835e-43	7.5621799821911e-42
FANCD2	status	Tumor	1.6581577629256	0.11358685135256	855	426	3.14195704596135e-43	7.62610933485765e-42
SGO2	status	Tumor	1.65711237454945	0.113528231691529	855	422	3.20409273635121e-43	7.70214600084426e-42
CCDC150	status	Tumor	1.65763360122924	0.113562735214001	855	412	3.19827803733977e-43	7.70214600084426e-42
SHCBP1	status	Tumor	1.65434963814301	0.113384236354943	855	434	3.43065271788853e-43	8.20730315284338e-42
CBFB	status	Tumor	1.66685373826588	0.114245002134007	855	433	3.45007452089982e-43	8.21446314499958e-42
GDF15	status	Tumor	1.6563138261364	0.113597230068128	855	447	3.86013808675268e-43	9.1472466510727e-42
ORC6	status	Tumor	1.65736815214637	0.113753516914005	855	417	4.37879337052577e-43	1.03273428550136e-41
SPDL1	status	Tumor	1.6654693625174	0.114364478842704	855	411	4.75270597251744e-43	1.1156586789947e-41
CENPK	status	Tumor	1.6542644700814	0.113671886402102	855	432	5.33297823905041e-43	1.24602295304916e-41
CEMIP	status	Tumor	1.65565855841405	0.113780528314081	855	381	5.43651770993882e-43	1.26430644417182e-41
CDCA8	status	Tumor	1.65968232699988	0.114092867155786	855	461	5.73497998707949e-43	1.32754166367581e-41
ETFDH	status	Tumor	-1.65275504896917	0.113742243535523	855	432	6.92003268499447e-43	1.59447757718767e-41
GEN1	status	Tumor	1.6584373376165	0.114141554649334	855	439	7.00559985658105e-43	1.60678895793143e-41
NUDCD1	status	Tumor	1.6527905488606	0.113856166391914	855	408	8.17195215874122e-43	1.86574250199571e-41
CDC7	status	Tumor	1.64937959726031	0.113635899679374	855	435	8.35328674241073e-43	1.8984742596388e-41
KIF20B	status	Tumor	1.65525955999753	0.114051449415162	855	419	8.48400097462666e-43	1.91945723407843e-41
PLK4	status	Tumor	1.65510474202386	0.114053200819394	855	426	8.64208469065781e-43	1.94641547086888e-41
TEAD4	status	Tumor	1.64855102699113	0.113683888273151	855	441	9.77032927003523e-43	2.1839276141826e-41
CHODL	status	Tumor	-1.6580631304543	0.114340785685592	855	441	9.78399571153806e-43	2.1839276141826e-41
C5orf34	status	Tumor	1.648201692459	0.113724892646499	855	437	1.07645329258178e-42	2.39211842795952e-41
RAD51D	status	Tumor	1.63799474314947	0.113035778712975	855	443	1.10115444407774e-42	2.43618239840209e-41
MARCKSL1	status	Tumor	1.64885284597478	0.113903766617667	855	480	1.3133035656778e-42	2.8927391314489e-41
SLC25A42	status	Tumor	-1.65538104772453	0.114463339169274	855	417	1.54143160859233e-42	3.38033247498317e-41
CHRNA1	status	Tumor	1.64707688214388	0.113896411208735	855	397	1.55811831674142e-42	3.40200505838738e-41
ARHGAP8	status	Tumor	1.64850203379461	0.11404836762505	855	437	1.68609242038225e-42	3.66541830517881e-41
TMEM100	status	Tumor	-1.64601861791657	0.114090470657602	855	408	2.31195493329007e-42	5.00423145733781e-41
LRFN4	status	Tumor	1.64835856475227	0.114298153436687	855	439	2.47177799239243e-42	5.32710774222507e-41
RAB5B	status	Tumor	-1.64614634801689	0.114232537557295	855	414	2.81198636698233e-42	6.03430550854578e-41
HOXA10	status	Tumor	1.65444604799281	0.114814376908814	855	388	2.83627685021228e-42	6.06042062011171e-41
FAM72D	status	Tumor	1.64354447721146	0.114078715925828	855	413	2.9246449518184e-42	6.22264883365618e-41
FANCB	status	Tumor	1.63489686005956	0.113691640359296	855	426	4.00359222573665e-42	8.48218691893357e-41
AKR1C1	status	Tumor	-1.64816311957087	0.114682914881738	855	422	4.42516779648197e-42	9.3357970389915e-41
ARLN	status	Tumor	-1.64230628252396	0.11428416802561	855	402	4.48231289332923e-42	9.41662372548158e-41
GCNT4	status	Tumor	-1.63190901906532	0.113567191850411	855	402	4.52563069894542e-42	9.44795444879909e-41
RNFT2	status	Tumor	1.63820219677163	0.114006559857	855	412	4.53501813542356e-42	9.44795444879909e-41
CBR1	status	Tumor	-1.62439175553643	0.113138302468427	855	403	5.20044544073954e-42	1.07893058936505e-40
KLF4	status	Tumor	-1.63993222922016	0.114253097488983	855	431	5.45216132290091e-42	1.12647961216961e-40
PLA2G7	status	Tumor	1.63428129318311	0.114011258121329	855	430	6.80603185253798e-42	1.4004180766539e-40
HASPIN	status	Tumor	1.63453361046853	0.114052850953246	855	445	7.04820680854343e-42	1.44430467388185e-40
FOXI2	status	Tumor	-1.63887419940712	0.114432983313129	855	411	7.88485162410935e-42	1.60915339267538e-40
XPO1	status	Tumor	1.63846096954132	0.114441280484575	855	437	8.32135178162047e-42	1.69133166293099e-40
YPEL5	status	Tumor	-1.63762432494345	0.114400461041082	855	398	8.53669046482705e-42	1.72807499287997e-40
PRRT4	status	Tumor	-1.6376893780657	0.114469625426054	855	380	9.37449833160923e-42	1.89001982492122e-40
PI16	status	Tumor	-1.63175709474956	0.114129955441569	855	390	1.04525129858952e-41	2.0988981899388e-40
TBC1D31	status	Tumor	1.62672322268923	0.113790533732124	855	424	1.06468401750532e-41	2.12088449702255e-40
PIGW	status	Tumor	1.63156000540883	0.114126151693418	855	434	1.06049435081e-41	2.12088449702255e-40
HOXA11	status	Tumor	1.63724006294696	0.114535963194669	855	345	1.07981959214385e-41	2.14249919076161e-40
UBE2T	status	Tumor	1.62172755968436	0.113509586951208	855	436	1.17650602562492e-41	2.32511072257889e-40
