"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lo","OR_hi","exposure_id","mean_F","n_instruments","instrument_quality","egger_int_p","direction","significant","padj","publishable","notes"
"ebi-a-GCST90016581","ebi-a-GCST90011877","Stomach cancer","genus Veillonella","Simple mode",5,-0.0562154653329219,0.16573975877241,0.751533923524067,0.945335426932588,0.683133216352078,1.30817686510099,"ebi-a-GCST90016581",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.8052149180615,FALSE,""
"ebi-a-GCST90016581","ebi-a-GCST90011877","Stomach cancer","genus Veillonella","Weighted mode",5,-0.0562154653329219,0.164694504482573,0.750030593324182,0.945335426932588,0.684534184875909,1.30549954868334,"ebi-a-GCST90016581",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.8052149180615,FALSE,""
"ebi-a-GCST90016588","ebi-a-GCST90011877","Stomach cancer","genus Fusobacterium","Inverse variance weighted",5,0.452729112680247,0.0894427190999916,4.15610051330179e-07,1.57259813191738,1.31972236277468,1.87392814903165,"ebi-a-GCST90016588",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,2.49366030798107e-06,TRUE,""
"ebi-a-GCST90016588","ebi-a-GCST90011877","Stomach cancer","genus Fusobacterium","Inverse variance weighted (fixed effects)",5,0.452729112680247,0.0894427190999916,4.15610051330179e-07,1.57259813191738,1.31972236277468,1.87392814903165,"ebi-a-GCST90016588",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,2.49366030798107e-06,TRUE,""
"ebi-a-GCST90016588","ebi-a-GCST90011877","Stomach cancer","genus Fusobacterium","Weighted median",5,0.466792535484274,0.116194638233238,5.88605613786279e-05,1.59487049005793,1.27004336371762,2.00277561595383,"ebi-a-GCST90016588",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.000220727105169855,TRUE,""
"ebi-a-GCST90016588","ebi-a-GCST90011877","Stomach cancer","genus Fusobacterium","Simple mode",5,0.451784534667078,0.16782700514693,0.0545467145509651,1.57111339163533,1.13070756963221,2.18305542093326,"ebi-a-GCST90016588",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.103281794608064,FALSE,""
"ebi-a-GCST90016588","ebi-a-GCST90011877","Stomach cancer","genus Fusobacterium","Weighted mode",5,0.450614926181043,0.16798134937689,0.0550836237909674,1.56927687829011,1.12904425341638,2.18116332755271,"ebi-a-GCST90016588",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.103281794608064,FALSE,""
"ebi-a-GCST90016600","ebi-a-GCST90011877","Stomach cancer","genus Lactobacillus (protective)","Inverse variance weighted",5,-0.332270887319753,0.0894427190999916,0.000203282900142593,0.71729299095881,0.601951370548628,0.854735548504033,"ebi-a-GCST90016600",100,5,"GENOME_WIDE_SIG",NA,"Protective",TRUE,0.00060984870042778,TRUE,""
"ebi-a-GCST90016600","ebi-a-GCST90011877","Stomach cancer","genus Lactobacillus (protective)","Inverse variance weighted (fixed effects)",5,-0.332270887319753,0.0894427190999916,0.000203282900142593,0.71729299095881,0.601951370548628,0.854735548504033,"ebi-a-GCST90016600",100,5,"GENOME_WIDE_SIG",NA,"Protective",TRUE,0.00060984870042778,TRUE,""
"ebi-a-GCST90016600","ebi-a-GCST90011877","Stomach cancer","genus Lactobacillus (protective)","Weighted median",5,-0.31617530276444,0.114435859388718,0.00572895997712885,0.728931655232298,0.582474665514941,0.912213679765731,"ebi-a-GCST90016600",100,5,"GENOME_WIDE_SIG",NA,"Protective",TRUE,0.0143223999428221,TRUE,""
"ebi-a-GCST90016600","ebi-a-GCST90011877","Stomach cancer","genus Lactobacillus (protective)","Simple mode",5,-0.333215465332922,0.166818201313269,0.116451601075056,0.716615771664131,0.516758754084412,0.993767711023415,"ebi-a-GCST90016600",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.174677401612584,FALSE,""
"ebi-a-GCST90016600","ebi-a-GCST90011877","Stomach cancer","genus Lactobacillus (protective)","Weighted mode",5,-0.333215465332922,0.165483122331956,0.114329704434943,0.716615771664131,0.51811275580899,0.991170663991722,"ebi-a-GCST90016600",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.174677401612584,FALSE,""
