"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","axis","mean_F","n_instruments","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90006910","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","H. pylori IgG seropositivity","MR Egger",11,-0.050633401550722,0.432924042458434,0.909462669851102,"H. pylori",21.5709854277382,11,-0.899164524769253,0.797897721667809,0.950627105083307,0.406909480557056,2.22086713654821
"ebi-a-GCST90032406","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Fusobacterium","Weighted median",10,0.0729006604786753,0.188780378581708,0.69937335275353,"oral-origin",22.7979751281608,10,-0.297108881541473,0.442910202498823,1.07562367966575,0.742963112988796,1.55723249247657
"ebi-a-GCST90032406","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Fusobacterium","Inverse variance weighted",10,0.0965559527674935,0.13888443162026,0.48691420006564,"oral-origin",22.7979751281608,10,-0.175657533208216,0.368769438743203,1.1013712041867,0.838905231331002,1.44595418422543
"ebi-a-GCST90032406","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Fusobacterium","Simple mode",10,0.260792041881071,0.499513694955881,0.614211573205647,"oral-origin",22.7979751281608,10,-0.718254800232457,1.2398388839946,1.29795771652045,0.487602477571409,3.45505675497365
"ebi-a-GCST90032406","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Fusobacterium","Weighted mode",10,0.00561064782025356,0.551309624505478,0.992102131495051,"oral-origin",22.7979751281608,10,-1.07495621621048,1.08617751185099,1.00562641698268,0.341312698937217,2.96292664668608
"ebi-a-GCST90017045","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Prevotella","MR Egger",11,0.6182793177515,0.73819658123414,0.423964092622434,"oral-origin",20.93556346298,11,-0.828585981467415,2.06514461697042,1.85573216769397,0.436666304228084,7.88643832800849
"ebi-a-GCST90017045","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Prevotella","Weighted median",11,-0.079136874996676,0.121072781646598,0.513349824394896,"oral-origin",20.93556346298,11,-0.316439527024008,0.158165777030655,0.92391345513894,0.728739079248163,1.17136036325573
"ebi-a-GCST90017045","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Prevotella","Inverse variance weighted",11,0.0113809577971559,0.0898581954998604,0.89921374517467,"oral-origin",20.93556346298,11,-0.164741105382571,0.187503020976882,1.01144596728669,0.84811324762215,1.20623389342018
"ebi-a-GCST90017045","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Prevotella","Simple mode",11,-0.0905547242670364,0.155986567402696,0.574406216905143,"oral-origin",20.93556346298,11,-0.396288396376321,0.215178947842248,0.91342434605536,0.672812631230163,1.24008378743003
"ebi-a-GCST90017045","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Prevotella","Weighted mode",11,-0.0855349601512492,0.201704666619763,0.680499376930543,"oral-origin",20.93556346298,11,-0.480876106725985,0.309806186423487,0.918021048338444,0.618241508922932,1.36316088944049
"ebi-a-GCST90017088","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Veillonella","MR Egger",5,-0.884412012372325,2.42239038468338,0.739258924278154,"oral-origin",21.1609775939287,5,-5.63229716635175,3.8634731416071,0.412956915464411,0.00358034123400126,47.6304918677538
"ebi-a-GCST90017088","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Veillonella","Weighted median",5,0.0726019276054488,0.137633819069611,0.597845972310515,"oral-origin",21.1609775939287,5,-0.197160357770989,0.342364212981887,1.07530240350368,0.821058959570879,1.40827311547165
"ebi-a-GCST90017088","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Veillonella","Inverse variance weighted",5,0.0474405980992068,0.122013225829579,0.697412848030884,"oral-origin",21.1609775939287,5,-0.191705324526769,0.286586520725182,1.04858391139376,0.825550102019434,1.33187339756147
"ebi-a-GCST90017088","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Veillonella","Simple mode",5,0.0837123746723195,0.206576579069679,0.706041176046859,"oral-origin",21.1609775939287,5,-0.321177720304251,0.48860246964889,1.0873161091764,0.725294340004653,1.6300366017842
"ebi-a-GCST90017088","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Veillonella","Weighted mode",5,0.0828860336554682,0.230399683352016,0.73722421700786,"oral-origin",21.1609775939287,5,-0.368697345714483,0.534469413025419,1.08641798640605,0.691634704984243,1.70654253275718
"ebi-a-GCST90017030","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Lactobacillus","MR Egger",9,0.274279402408816,0.205447516987701,0.223646393497943,"protective-cand",22.0542486045511,9,-0.128397730887078,0.676956535704709,1.31558232776395,0.879503503862373,1.96787943825593
"ebi-a-GCST90017030","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Lactobacillus","Weighted median",9,-0.0586806642894604,0.0948765998724686,0.536249359064811,"protective-cand",22.0542486045511,9,-0.244638800039499,0.127277471460578,0.943007857164577,0.782987302154248,1.13573210731193
"ebi-a-GCST90017030","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Lactobacillus","Inverse variance weighted",9,-0.041822507171213,0.0698984535596995,0.549618183846524,"protective-cand",22.0542486045511,9,-0.178823476148224,0.0951784618057981,0.959039988187145,0.836253505058466,1.0998551197435
"ebi-a-GCST90017030","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Lactobacillus","Simple mode",9,-0.0374283554572571,0.140236621350296,0.796301423014258,"protective-cand",22.0542486045511,9,-0.312292133303837,0.237435422389323,0.963263427816521,0.731767723277418,1.26799311018132
"ebi-a-GCST90017030","ebi-a-GCST90018629","Gastric cancer || id:ebi-a-GCST90018629","Lactobacillus","Weighted mode",9,0.0169278827839617,0.174708217466528,0.925195330484543,"protective-cand",22.0542486045511,9,-0.325500223450433,0.359355989018357,1.01707197128126,0.722166018897792,1.43240663185004
